分類,名前,名前_仮名,格言,格言_仮名
現実,西郷隆盛,さいごうたかもり,命もいらず、名もいらず、官位も金もいらぬ人は、始末に困るものなり。この始末に困る人ならでは、艱難を共にして国家の大業は成し得られぬなり。,いのちもいらず、なもいらず、かんいもかねもいらぬひとは、しまつにこまるものなり。このしまつにこまるひとならでは、かんなんをともにしてこっかのたいぎょうはなしえられぬなり。
現実,勝海舟,かつかいしゅう,事を成し遂げる者は愚直でなければならぬ。才走ってはうまくいかない。,ことをなしとげるものはぐちょくでなければならぬ。さいばしってはうまくいかない。
現実,野口英世,のぐちひでよ,努力だ。勉強だ。それが天才だ。誰よりも三倍、四倍、五倍勉強する者、それが天才だ。,どりょくだ。べんきょうだ。それがてんさいだ。だれよりもさんばい、よんばい、ごばいべんきょうするもの、それがてんさいだ。
現実,手塚治虫,てづかおさむ,人を信じよ、しかしその百倍も自らを信じよ。,ひとをしんじよ、しかしそのひゃくばいもみずからをしんじよ。
現実,藤子・F・不二雄,ふじこ・F・ふじお,何かを始めるのに遅すぎるということはない。,なにかをはじめるのにおそすぎるということはない。
現実,宮崎駿,みやざきはやお,自分の今の力が足りないなら、とにかく足掻いて、足掻いて、足掻きまくるしかない。,じぶんのいまのちからがたりないなら、とにかくあがいて、あがいて、あがきまくるしかない。
現実,黒澤明,くろさわあきら,私はいつも、次こそが最高傑作だと思っている。,わたしはいつも、つぎこそがさいこうけっさくだとおもっている。
現実,チャールズ・チャップリン,チャールズ・チャップリン,下を向いていたら、虹を見つけることはできないよ。,したをむいていたら、にじをみつけることはできないよ。
現実,オードリー・ヘプバーン,オードリー・ヘプバーン,不可能（Impossible）なことなどないわ。言葉自体が「私はできる（I'm possible）」と言っているのだから。,ふかのう（Impossible）なことなどないわ。ことばじたいが「わたしはできる（I'm possible）」といっているのだから。
現実,ジョン・レノン,ジョン・レノン,問題は、君がどう動くかだ。,もんだいは、きみがどううごくかだ。
現実,ルートヴィヒ・ヴァン・ベートーヴェン,ルートヴィヒ・ヴァン・ベートーヴェン,卓越した人々の最大の特徴は、不幸で苦しい状況にあっても決して屈しないことだ。,たくえつしたひとびとのさいだいのとくちょうは、ふこうでくるしいじょうきょうにあってもけっしてくっしないことだ。
現実,パブロ・ピカソ,パブロ・ピカソ,私はいつも自分ができないことをしている。そうすれば、そのやり方を学べるからだ。,わたしはいつもじぶんができないことをしている。そうすれば、そのやりかたをまなべるからだ。
現実,フィンセント・ファン・ゴッホ,フィンセント・ファン・ゴッホ,偉業は一時的な衝動でなされるものではなく、小さなことの積み重ねによってなされるのだ。,いぎょうはいちじてきなしょうどうでなされるものではなく、ちいさなことのつみかさねによってなされるのだ。
現実,レオナルド・ダ・ヴィンチ,レオナルド・ダ・ヴィンチ,充実した一日が幸せな眠りをもたらすように、充実した一生は幸福な死をもたらす。,じゅうじつしたいちにちがしあわせなねむりをもたらすように、じゅうじつしたいっしょうはこうふくなしをもたらす。
現実,アイルトン・セナ,アイルトン・セナ,限界だと感じたときこそ、もう一歩踏み出すチャンスなんだ。,げんかいだとかんじたときこそ、もういっぽふみだすチャンスなんだ。
現実,アンネ・フランク,アンネ・フランク,希望を持っていれば、いつか必ず叶うわ。,きぼうをもっていれば、いつかかならずかなうわ。
現実,マヤ・アンジェロウ,マヤ・アンジェロウ,どんなことが起きても、今日という日を精一杯生きよう。,どんなことがおきても、きょうというひをせいいっぱいいきよう。
現実,ココ・シャネル,ココ・シャネル,翼を持たずに生まれてきたのなら、翼を生やすためにどんなことでもしなさい。,つばさをもたずにうまれてきたのなら、つばさをはやすためにどんなことでもしなさい。
現実,ブルース・スプリングスティーン,ブルース・スプリングスティーン,「いつか」という言葉は、決してやってこない日を指すことが多い。,「いつか」ということばは、けっしてやってこないひをさすことがおおい。
現実,エレノア・ルーズベルト,エレノア・ルーズベルト,未来は、美しい夢を信じる人のためにある。,みらいは、うつくしいゆめをしんじるひとのためにある。
現実,マーティン・ルーサー・キング・ジュニア,マーティン・ルーサー・キング・ジュニア,疑わずに最初の一段を登りなさい。階段のすべて見えなくてもいい。とにかく最初の一歩を踏み出すのです。,うたがわずにさいしょのいちだんをのぼりなさい。かいだんのすべてみえなくてもいい。とにかくさいしょのいっぽをふみだすのです。
現実,マルコムX,マルコムX,未来は今日準備する者のためにある。,みらいはきょうじゅんびするもののためにある。
現実,コービー・ブライアント,コービー・ブライアント,休むのは最後にしろ。途中で休むな。,やすむのはさいごにしろ。とちゅうでやすむな。
現実,レブロン・ジェームズ,レブロン・ジェームズ,恐れを抱くことは構わない。だが、それに屈してはならない。,おそれをいだくことはかまわない。だが、それにくっしてはならない。
現実,クリスティアーノ・ロナウド,クリスティアーノ・ロナウド,才能がないのなら、人一倍の努力をするしかない。,さいのうがないのなら、ひといちばいのどりょくをするしかない。
現実,リオネル・メッシ,リオネル・メッシ,努力が報われるまで、僕は何度でも立ち上がる。,どりょくがむくわれるまで、ぼくはなんどでもたちあがる。
現実,セリーナ・ウィリアムズ,セリーナ・ウィリアムズ,チャンピオンとは、勝った時ではなく、落ち込んだ時にどう立ち上がるかで定義される。,チャンピオンとは、かったときではなく、おちこんだときにどうたちあがるかでていぎされる。
現実,タイガー・ウッズ,タイガー・ウッズ,他人の期待になんて応えなくていい。自分の期待に応えればいいんだ。,たにんのきたいになんてこたえなくていい。じぶんのきたいにこたえればいいんだ。
現実,ウェイン・グレツキー,ウェイン・グレツキー,打たないシュートは100%外れる。,うたないシュートは100%はずれる。
現実,ウサイン・ボルト,ウサイン・ボルト,限界なんて最初から存在しない。,げんかいなんてさいしょからそんざいしない。
現実,大谷翔平,おおたにしょうへい,無理だと思わないことが一番大事だと思います。,むりだとおもわないことがいちばんだいじだとおもいます。
現実,大坂なおみ,おおさかなおみ,自分を信じることができなければ、誰もあなたを信じない。,じぶんをしんじることができなければ、だれもあなたをしんじない。
現実,錦織圭,にしこりけい,限界は自分が作っているだけ。,げんかいはじぶんがつくっているだけ。
現実,内村航平,うちむらこうへい,諦めたらそこで終わり。やり続ければ必ず道は開ける。,あきらめたらそこでおわり。やりつづければかならずみちはひらける。
現実,三浦知良,みうらかずよし,学ばない者は人のせいにする。学びつつある者は自分のせいにする。学ぶことを知っている者は誰のせいにもしない。,まなばないものはひとのせいにする。まなびつつあるものはじぶんのせいにする。まなぶことをしっているものはだれのせいにもしない。
現実,松井秀喜,まついひでき,コントロールできないことは気にするな。コントロールできることだけに全力を尽くせ。,コントロールできないことはきにするな。コントロールできることだけにぜんりょくをつくせ。
現実,王貞治,おうさだはる,努力は必ず報われる。もし報われない努力があるのなら、それはまだ努力と呼べない。,どりょくはかならずむくわれる。もしむくわれないどりょくがあるのなら、それはまだどりょくとよべない。
現実,長嶋茂雄,ながしましげお,挫折してもプライドは失わない、それは最大の武器だからだ。,ざせつしてもプライドはうしなわない、それはさいだいのぶきだからだ。
現実,稲盛和夫,いなもりかずお,動機善なりや、私心なかりしか。,どうきぜんなりや、ししんなかりしか。
現実,永守重信,ながもりしげのぶ,すぐやる、必ずやる、出来るまでやる。,すぐやる、かならずやる、できるまでやる。
現実,柳井正,やないただし,失敗の数は多ければ多いほどいい。それだけ挑戦している証拠だから。,しっぱいのかずはおおければおおいほどいい。それだけちょうせんしているしょうこだから。
現実,三木谷浩史,みきたにひろし,不可能とは、可能性に気づいていないだけだ。,ふかのうとは、かのうせいにきづいていないだけだ。
現実,盛田昭夫,もりたあきお,常識を疑うことから、新しいものは生まれる。,じょうしきをうたがうことから、あたらしいものはうまれる。
現実,井深大,いぶかまさる,やりたいことをやるのが一番のモチベーションだ。,やりたいことをやるのがいちばんのモチベーションだ。
現実,豊田喜一郎,とよだきいちろう,百回の議論より、一回の実行。,ひゃっかいのぎろんより、いっかいのじっこう。
現実,安藤百福,あんどうももふく,転んだら、ただ起き上がるだけではもったいない。そこにある石を拾って起き上がれ。,ころんだら、ただおきあがるだけではもったいない。そこにあるいしをひろっておきあがれ。
現実,ラルフ・ワルド・エマーソン,ラルフ・ワルド・エマーソン,恐れていることを実行しなさい。そうすれば恐怖心は跡形もなく消え去る。,おそれていることをじっこうしなさい。そうすればきょうふしんはあとかたもなくきえさる。
現実,ヴィクトール・フランクル,ヴィクトール・フランクル,人生があなたに何を期待しているかが問題なのではない。あなたが人生に何を期待しているかが問題なのだ。,じんせいがあなたになにをきたいしているかがもんだいなのではない。あなたがじんせいになにをきたいしているかがもんだいなのだ。
現実,アントニオ猪木,アントニオいのき,道はどんなに険しくとも、笑いながら歩こうぜ！,みちはどんなにけわしくとも、わらいながらあるこうぜ！
現実,ジャッキー・チェン,ジャッキー・チェン,人生で一番大切なのは、自分がやりたいことをやり遂げることだ。,じんせいでいちばんたいせつなのは、じぶんがやりたいことをやりとげることだ。
現実,トム・クルーズ,トム・クルーズ,不可能を可能にするのが僕の仕事だ。,ふかのうをかのうにするのがぼくのしごとだ。
現実,レディー・ガガ,レディー・ガガ,自分が信じるもののためなら、何度でも戦うわ。,じぶんがしんじるもののためなら、なんどでもたたかうわ。
現実,テイラー・スウィフト,テイラー・スウィフト,恐れを知らないということは、恐怖がないということじゃない。恐怖を乗り越えるということよ。,おそれをしらないということは、きょうふがないということじゃない。きょうふをのりこえるということよ。
現実,マイケル・ジャクソン,マイケル・ジャクソン,世界を変えたいなら、まず鏡の中の自分から変えろ。,せかいをかえたいなら、まずかがみのなかのじぶんからかえろ。
現実,アントワーヌ・ド・サン＝テグジュペリ,アントワーヌ・ド・サン＝テグジュペリ,計画のない目標は、ただの願い事にすぎない。,けいかくのないもくひょうは、ただのねがいごとにすぎない。
現実,アルトゥル・ショーペンハウアー,アルトゥル・ショーペンハウアー,平凡な人間は時間を潰すことばかり考え、才能ある人間は時間を利用することを考える。,へいぼんなにんげんはじかんをつぶすことばかりかんがえ、さいのうあるにんげんはじかんをりようすることをかんがえる。
現実,セネカ,セネカ,困難だからやらないのではない。やらないから困難なのだ。,こんなんだからやらないのではない。やらないからこんなんなのだ。
現実,ナポレオン・ボナパルト,ナポレオン・ボナパルト,「不可能」という言葉は、愚か者の辞書にしか存在しない。,「ふかのう」ということばは、おろかもののじしょにしかそんざいしない。
架空,安西先生（SLAM DUNK）,あんざいせんせい（SLAM DUNK）,諦めたらそこで試合終了ですよ。,あきらめたらそこでしあいしゅうりょうですよ。
架空,桜木花道（SLAM DUNK）,さくらぎはなみち（SLAM DUNK）,オヤジの栄光時代はいつだよ…全日本の時か？俺は……俺は今なんだよ！,オヤジのえいこうじだいはいつだよ…ぜんにっぽんのときか？おれは……おれはいまなんだよ！
架空,赤木剛憲（SLAM DUNK）,あかぎたけのり（SLAM DUNK）,骨が折れてもいい…歩けなくなってもいい…！ やっと掴んだチャンスなんだ…！,ほねがおれてもいい…あるけなくなってもいい…！ やっとつかんだチャンスなんだ…！
架空,鴨川源二（はじめの一歩）,かもがわげんじ（はじめのいっぽ）,努力した者が全て報われるとは限らん。しかし、成功した者は皆すべからく努力しておる！,どりょくしたものがすべてむくわれるとはかぎらん。しかし、せいこうしたものはみなすべからくどりょくしておる！
架空,幕之内一歩（はじめの一歩）,まくのうちいっぽ（はじめのいっぽ）,立ち上がらなきゃ…ここで立ち上がらなきゃ、今までやってきた事が全部嘘になっちゃう！,たちあがらなきゃ…ここでたちあがらなきゃ、いままでやってきたことがぜんぶうそになっちゃう！
架空,南波六太（宇宙兄弟）,なんばむった（うちゅうきょうだい）,俺の敵はだいたい俺です。自分の"宇宙へ行きたい"っていう夢をさんざん邪魔して足を引っ張り続けたのは結局俺でした。,おれのてきはだいたいおれです。じぶんの"うちゅうへいきたい"っていうゆめをさんざんじゃましてあしをひっぱりつづけたのはけっきょくおれでした。
架空,南波日々人（宇宙兄弟）,なんばひびと（うちゅうきょうだい）,もし諦め切れるんなら、そんなもん夢じゃねえ。,もしあきらめきれるんなら、そんなもんゆめじゃねえ。
架空,ヨーダ（スター・ウォーズ）,ヨーダ（スター・ウォーズ）,やるか、やらないかだ。「試しにやってみる」などない。,やるか、やらないかだ。「ためしにやってみる」などない。
架空,モンキー・D・ルフィ（ONE PIECE）,モンキー・D・ルフィ（ONE PIECE）,できるかどうかじゃない。なりたいからなるんだ。,できるかどうかじゃない。なりたいからなるんだ。
架空,サンジ（ONE PIECE）,サンジ（ONE PIECE）,誰にでもできる事とできない事がある。お前にできない事はおれがやる。おれにできない事をお前がやれ！,だれにでもできることとできないことがある。おまえにできないことはおれがやる。おれにできないことをおまえがやれ！
架空,エルヴィン・スミス（進撃の巨人）,エルヴィン・スミス（しんげきのきょじん）,何かを捨てることのできない人間には、何も変えることはできない。,なにかをすてることのできないにんげんには、なにもかえることはできない。
架空,リヴァイ・アッカーマン（進撃の巨人）,リヴァイ・アッカーマン（しんげきのきょじん）,悔いが残らない方を自分で選べ。,くいがのこらないほうをじぶんでえらべ。
架空,エレン・イェーガー（進撃の巨人）,エレン・イェーガー（しんげきのきょじん）,戦わなければ勝てない。,たたかわなければかてない。
架空,竈門炭治郎（鬼滅の刃）,かまどたんじろう（きめつのやいば）,頑張れ炭治郎頑張れ!! 俺は今までよくやってきた!! 俺はできる奴だ!!,がんばれたんじろうがんばれ!! おれはいままでよくやってきた!! おれはできるやつだ!!
架空,煉獄杏寿郎（鬼滅の刃）,れんごくきょうじゅろう（きめつのやいば）,心を燃やせ。限界を超えろ。,こころをもやせ。げんかいをこえろ。
架空,宇髄天元（鬼滅の刃）,うずいてんげん（きめつのやいば）,恥を掻いても生きてりゃ何とかなる！,はじをかいてもいきてりゃなんとかなる！
架空,ロイ・マスタング（鋼の錬金術師）,ロイ・マスタング（はがねのれんきんじゅつし）,理想を語れなくなったら人間の進化は止まるぞ。,りそうをかたれなくなったらにんげんのしんかはとまるぞ。
架空,エドワード・エルリック（鋼の錬金術師）,エドワード・エルリック（はがねのれんきんじゅつし）,立って歩け。前へ進め。あんたには立派な足がついてるじゃないか。,たってあるけ。まえへすすめ。あんたにはりっぱなあしがついてるじゃないか。
架空,ドラえもん（ドラえもん）,ドラえもん（ドラえもん）,毎日の小さな努力の積み重ねが、歴史を作っていくんだよ。,まいにちのちいさなどりょくのつみかさねが、れきしをつくっていくんだよ。
架空,野比のび太（ドラえもん）,のびのびた（ドラえもん）,一番いけないのは、自分なんかダメだと思い込むことだよ。,いちばんいけないのは、じぶんなんかダメだとおもいこむことだよ。
架空,オールマイト（僕のヒーローアカデミア）,オールマイト（ぼくのヒーローアカデミア）,君はヒーローになれる。,きみはヒーローになれる。
架空,緑谷出久（僕のヒーローアカデミア）,みどりやいずく（ぼくのヒーローアカデミア）,限界だと思った時からが本当の勝負だ！,げんかいだとおもったときからがほんとうのしょうぶだ！
架空,爆豪勝己（僕のヒーローアカデミア）,ばくごうかつき（ぼくのヒーローアカデミア）,俺はここで一番になってやる！,おれはここでいちばんになってやる！
架空,轟焦凍（僕のヒーローアカデミア）,とどろきしょうと（ぼくのヒーローアカデミア）,なりたい自分になっていいんだよ。,なりたいじぶんになっていいんだよ。
架空,カミナ（天元突破グレンラガン）,カミナ（てんげんとっぱグレンラガン）,お前を信じろ。俺が信じるお前でもない。お前が信じる俺でもない。お前が信じる、お前を信じろ！,おまえをしんじろ。おれがしんじるおまえでもない。おまえがしんじるおれでもない。おまえがしんじる、おまえをしんじろ！
架空,坂田銀時（銀魂）,さかたぎんとき（ぎんたま）,美しく最後を飾りつける暇があるなら、最後まで美しく生きようじゃねーか。,うつくしくさいごをかざりつけるひまがあるなら、さいごまでうつくしくいきようじゃねーか。
架空,ラフィキ（ライオン・キング）,ラフィキ（ライオン・キング）,過去は痛むものだ。だがそこから逃げるか、学ぶかは自分次第だ。,かこはいたむものだ。だがそこからにげるか、まなぶかはじぶんしだいだ。
架空,野原ひろし（クレヨンしんちゃん）,のはらひろし（クレヨンしんちゃん）,夢は逃げない。逃げるのはいつも自分だ。,ゆめはにげない。にげるのはいつもじぶんだ。
架空,うずまきナルト（NARUTO）,うずまきナルト（NARUTO）,まっすぐ自分の言葉は曲げねェ。それが俺の忍道だ。,まっすぐじぶんのことばはまげねェ。それがおれのにんどうだ。
架空,マイト・ガイ（NARUTO）,マイト・ガイ（NARUTO）,自分を信じない奴なんかに、努力する価値はない！,じぶんをしんじないやつなんかに、どりょくするかちはない！
架空,ロック・リー（NARUTO）,ロック・リー（NARUTO）,木の葉の蓮華は二度咲きます！,きのはのれんげはにどさきます！
架空,黒崎一護（BLEACH）,くろさきいちご（BLEACH）,俺は……俺の護りたいものを護る！,おれは……おれのまもりたいものをまもる！
架空,孫悟空（ドラゴンボール）,そんごくう（ドラゴンボール）,落ちこぼれだって必死に努力すりゃエリートを超えることがあるかもよ。,おちこぼれだってひっしにどりょくすりゃエリートをこえることがあるかもよ。
架空,ベジータ（ドラゴンボール）,ベジータ（ドラゴンボール）,限界など気のせいだ！,げんかいなどきのせいだ！
架空,日向翔陽（ハイキュー！！）,ひなたしょうよう（ハイキュー！！）,負けたくないことに理由って要る？,まけたくないことにりゆうっている？
架空,影山飛雄（ハイキュー！！）,かげやまとびお（ハイキュー！！）,俺が居ればお前は最強だ！,おれがいればおまえはさいきょうだ！
架空,西谷夕（ハイキュー！！）,にしのやゆう（ハイキュー！！）,野郎共ビビるなァーッ！！ 前のめりで行くぜ。,やろうどもビビるなァーッ！！ まえのめりでいくぜ。
架空,澤村大地（ハイキュー！！）,さわむらだいち（ハイキュー！！）,俺達は血液だ。滞り無く流れろ。酸素を回せ。「脳」が正常に働くために。,おれたちはけつえきだ。とどこおりなくながれろ。さんそをまわせ。「のう」がせいじょうにはたらくために。
架空,ブローノ・ブチャラティ（ジョジョの奇妙な冒険）,ブローノ・ブチャラティ（ジョジョのきみょうなぼうけん）,"覚悟"とは…………犠牲の心ではないッ！ "覚悟"とは！！ 暗闇の荒野に！！ 進むべき道を切り開く事だッ！,"かくご"とは…………ぎせいのこころではないッ！ "かくご"とは！！ くらやみのこうやに！！ すすむべきみちをきりひらくことだッ！
架空,ロッキー・バルボア（ロッキー）,ロッキー・バルボア（ロッキー）,どんなに強く打ちのめされても、立ち上がり前に進み続けることだ。それが勝つということだ！,どんなにつよくうちのめされても、たちあがりまえにすすみつづけることだ。それがかつということだ！
架空,ネオ（マトリックス）,ネオ（マトリックス）,道を知っていることと、実際にその道を歩くことは違う。,みちをしっていることと、じっさいにそのみちをあるくことはちがう。
架空,ガンダルフ（ロード・オブ・ザ・リング）,ガンダルフ（ロード・オブ・ザ・リング）,私たちにできるのは、与えられた時間をどう使うか決めることだけだ。,わたしたちにできるのは、あたえられたじかんをどうつかうかきめることだけだ。
架空,クラウド・ストライフ（ファイナルファンタジーVII）,クラウド・ストライフ（ファイナルファンタジーVII）,興味ないね。だが、やるからには全力だ。,きょうみないね。だが、やるからにはぜんりょくだ。
架空,アイザック・ネテロ（HUNTER×HUNTER）,アイザック・ネテロ（HUNTER×HUNTER）,感謝するぜ お前と出会えた これまでの 全てに!!!,かんしゃするぜ おまえとであえた これまでの すべてに!!!
架空,ジン・フリークス（HUNTER×HUNTER）,ジン・フリークス（HUNTER×HUNTER）,道草を楽しめ 大いにな。ほしいものより大切なものが きっとそっちに ころがってる。,みちくさをたのしめ おおいにな。ほしいものよりたいせつなものが きっとそっちに ころがってる。
架空,ゴン・フリークス（HUNTER×HUNTER）,ゴン・フリークス（HUNTER×HUNTER）,俺、やってみる。,おれ、やってみる。
架空,アーチャー（Fate/stay night）,アーチャー（Fate/stay night）,ついてこれるか、ではなく。てめえの方こそ、ついてきやがれ！,ついてこれるか、ではなく。てめえのほうこそ、ついてきやがれ！
架空,衛宮士郎（Fate/stay night）,えみやしろう（Fate/stay night）,だから、俺の信じるものは間違ってない！,だから、おれのしんじるものはまちがってない！
架空,ノーマン（約束のネバーランド）,ノーマン（やくそくのネバーランド）,僕は神様になりたいわけじゃない。ただ、みんなで笑い合いたいだけなんだ。,ぼくはかみさまになりたいわけじゃない。ただ、みんなでわらいあいたいだけなんだ。
架空,レイ（約束のネバーランド）,レイ（やくそくのネバーランド）,負け犬になんてなってたまるか。,まけいぬになんてなってたまるか。
架空,エマ（約束のネバーランド）,エマ（やくそくのネバーランド）,私達は、もう二度と大切な家族を失いたくない！,わたしたちは、もうにどとたいせつなかぞくをうしないたくない！
架空,虎杖悠仁（呪術廻戦）,いたどりゆうじ（じゅじゅつかいせん）,自分が死ぬ時のことは分からんけど、生き様で後悔はしたくない。,じぶんがしぬときのことはわからんけど、いきざまでこうかいはしたくない。
架空,伏黒恵（呪術廻戦）,ふしぐろめぐみ（じゅじゅつかいせん）,俺は不平等に人を助ける。,おれはふびょうどうにひとをたすける。
