分類,発言者,格言
{現実:げんじつ},{老子:ろうし},{千里:せんり}の{道:みち}も{一歩:いっぽ}から。
{現実:げんじつ},{福沢諭吉:ふくざわゆきち},{進:すす}まざる{者:もの}は{必:かなら}ず{退:しりぞ}き、{退:しりぞ}かざる{者:もの}は{必:かなら}ず{進:すす}む。
{現実:げんじつ},{坂本龍馬:さかもとりょうま},{世:よ}の{人:ひと}は{我:われ}を{何:なん}とも{言:い}わば{言:い}え。{我:われ}が{成:な}す{事:こと}は{我:われ}のみぞ{知:し}る。
{現実:げんじつ},{吉田松陰:よしだしょういん},{夢:ゆめ}なき{者:もの}に{理想:りそう}なし、{理想:りそう}なき{者:もの}に{計画:けいかく}なし、{計画:けいかく}なき{者:もの}に{実行:じっこう}なし、{実行:じっこう}なき{者:もの}に{成功:せいこう}なし。
{現実:げんじつ},{西郷隆盛:さいごうたかもり},{命:いのち}もいらず、{名:な}もいらず、{官位:かんい}も{金:かね}もいらぬ{人:ひと}は、{始末:しまつ}に{困:こま}るものなり。この{始末:しまつ}に{困:こま}る{人:ひと}ならでは、{艱難:かんなん}を{共:とも}にして{国家:こっか}の{大業:たいぎょう}は{成:な}し{得:え}られぬなり。
{現実:げんじつ},{勝海舟:かつかいしゅう},{事:こと}を{成:な}し{遂:と}げる{者:もの}は{愚直:ぐちょく}でなければならぬ。{才走:さいばし}ってはうまくいかない。
{現実:げんじつ},{野口英世:のぐちひでよ},{努力:どりょく}だ。{勉強:べんきょう}だ。それが{天才:てんさい}だ。{誰:だれ}よりも{三倍:さんばい}、{四倍:よんばい}、{五倍:ごばい}{勉強:べんきょう}する{者:もの}、それが{天才:てんさい}だ。
{現実:げんじつ},{手塚治虫:てづかおさむ},{人:ひと}を{信:しん}じよ、しかしその{百倍:ひゃくばい}も{自:みずか}らを{信:しん}じよ。
{現実:げんじつ},{藤子:ふじこ}・F・{不二雄:ふじお},{何:なに}かを{始:はじ}めるのに{遅:おそ}すぎるということはない。
{現実:げんじつ},{宮崎駿:みやざきはやお},{自分:じぶん}の{今:いま}の{力:ちから}が{足:た}りないなら、とにかく{足掻:あが}いて、{足掻:あが}いて、{足掻:あが}きまくるしかない。
{現実:げんじつ},{黒澤明:くろさわあきら},{私:わたし}はいつも、{次:つぎ}こそが{最高傑作:さいこうけっさく}だと{思:おも}っている。
{現実:げんじつ},チャールズ・チャップリン,{下:した}を{向:む}いていたら、{虹:にじ}を{見:み}つけることはできないよ。
{現実:げんじつ},オードリー・ヘプバーン,{不可能:ふかのう}（Impossible）なことなどないわ。{言葉自体:ことばじたい}が「{私:わたし}はできる（I'm possible）」と{言:い}っているのだから。
{現実:げんじつ},ジョン・レノン,{問題:もんだい}は、{君:きみ}がどう{動:うご}くかだ。
{現実:げんじつ},ルートヴィヒ・ヴァン・ベートーヴェン,{卓越:たくえつ}した{人々:ひとびと}の{最大:さいだい}の{特徴:とくちょう}は、{不幸:ふこう}で{苦:くる}しい{状況:じょうきょう}にあっても{決:けっ}して{屈:くっ}しないことだ。
{現実:げんじつ},パブロ・ピカソ,{私:わたし}はいつも{自分:じぶん}ができないことをしている。そうすれば、そのやり{方:かた}を{学:まな}べるからだ。
{現実:げんじつ},フィンセント・ファン・ゴッホ,{偉業:いぎょう}は{一時的:いちじてき}な{衝動:しょうどう}でなされるものではなく、{小:ちい}さなことの{積:つ}み{重:かさ}ねによってなされるのだ。
{現実:げんじつ},レオナルド・ダ・ヴィンチ,{充実:じゅうじつ}した{一日:いちにち}が{幸:しあわ}せな{眠:ねむ}りをもたらすように、{充実:じゅうじつ}した{一生:いっしょう}は{幸福:こうふく}な{死:し}をもたらす。
{現実:げんじつ},アイルトン・セナ,{限界:げんかい}だと{感:かん}じたときこそ、もう{一歩:いっぽ}{踏:ふ}み{出:だ}すチャンスなんだ。
{現実:げんじつ},アンネ・フランク,{希望:きぼう}を{持:も}っていれば、いつか{必:かなら}ず{叶:かな}うわ。
{現実:げんじつ},マヤ・アンジェロウ,どんなことが{起:お}きても、{今日:きょう}という{日:ひ}を{精一杯:せいいっぱい}{生:い}きよう。
{現実:げんじつ},ココ・シャネル,{翼:つばさ}を{持:も}たずに{生:う}まれてきたのなら、{翼:つばさ}を{生:は}やすためにどんなことでもしなさい。
{現実:げんじつ},ブルース・スプリングスティーン,「いつか」という{言葉:ことば}は、{決:けっ}してやってこない{日:ひ}を{指:さ}すことが{多:おお}い。
{現実:げんじつ},エレノア・ルーズベルト,{未来:みらい}は、{美:うつく}しい{夢:ゆめ}を{信:しん}じる{人:ひと}のためにある。
{現実:げんじつ},マーティン・ルーサー・キング・ジュニア,{疑:うたが}わずに{最初:さいしょ}の{一段:いちだん}を{登:のぼ}りなさい。{階段:かいだん}のすべて{見:み}えなくてもいい。とにかく{最初:さいしょ}の{一歩:いっぽ}を{踏:ふ}み{出:だ}すのです。
{現実:げんじつ},マルコムX,{未来:みらい}は{今日:きょう}{準備:じゅんび}する{者:もの}のためにある。
{現実:げんじつ},コービー・ブライアント,{休:やす}むのは{最後:さいご}にしろ。{途中:とちゅう}で{休:やす}むな。
{現実:げんじつ},レブロン・ジェームズ,{恐:おそ}れを{抱:いだ}くことは{構:かま}わない。だが、それに{屈:くっ}してはならない。
{現実:げんじつ},クリスティアーノ・ロナウド,{才能:さいのう}がないのなら、{人一倍:ひといちばい}の{努力:どりょく}をするしかない。
{現実:げんじつ},リオネル・メッシ,{努力:どりょく}が{報:むく}われるまで、{僕:ぼく}は{何度:なんど}でも{立:た}ち{上:あ}がる。
{現実:げんじつ},セリーナ・ウィリアムズ,チャンピオンとは、{勝:か}った{時:とき}ではなく、{落:お}ち{込:こ}んだ{時:とき}にどう{立:た}ち{上:あ}がるかで{定義:ていぎ}される。
{現実:げんじつ},タイガー・ウッズ,{他人:たにん}の{期待:きたい}になんて{応:こた}えなくていい。{自分:じぶん}の{期待:きたい}に{応:こた}えればいいんだ。
{現実:げんじつ},ウェイン・グレツキー,{打:う}たないシュートは100%{外:はず}れる。
{現実:げんじつ},ウサイン・ボルト,{限界:げんかい}なんて{最初:さいしょ}から{存在:そんざい}しない。
{現実:げんじつ},{大谷翔平:おおたにしょうへい},{無理:むり}だと{思:おも}わないことが{一番:いちばん}{大事:だいじ}だと{思:おも}います。
{現実:げんじつ},{大坂:おおさか}なおみ,{自分:じぶん}を{信:しん}じることができなければ、{誰:だれ}もあなたを{信:しん}じない。
{現実:げんじつ},{錦織圭:にしこりけい},{限界:げんかい}は{自分:じぶん}が{作:つく}っているだけ。
{現実:げんじつ},{内村航平:うちむらこうへい},{諦:あきら}めたらそこで{終:お}わり。やり{続:つづ}ければ{必:かなら}ず{道:みち}は{開:ひら}ける。
{現実:げんじつ},{三浦知良:みうらかずよし},{学:まな}ばない{者:もの}は{人:ひと}のせいにする。{学:まな}びつつある{者:もの}は{自分:じぶん}のせいにする。{学:まな}ぶことを{知:し}っている{者:もの}は{誰:だれ}のせいにもしない。
{現実:げんじつ},{松井秀喜:まついひでき},コントロールできないことは{気:き}にするな。コントロールできることだけに{全力:ぜんりょく}を{尽:つ}くせ。
{現実:げんじつ},{王貞治:おうさだはる},{努力:どりょく}は{必:かなら}ず{報:むく}われる。もし{報:むく}われない{努力:どりょく}があるのなら、それはまだ{努力:どりょく}と{呼:よ}べない。
{現実:げんじつ},{長嶋茂雄:ながしましげお},{挫折:ざせつ}してもプライドは{失:うしな}わない、それは{最大:さいだい}の{武器:ぶき}だからだ。
{現実:げんじつ},{稲盛和夫:いなもりかずお},{動機:どうき}{善:ぜん}なりや、{私心:ししん}なかりしか。
{現実:げんじつ},{永守重信:ながもりしげのぶ},すぐやる、{必:かなら}ずやる、{出来:でき}るまでやる。
{現実:げんじつ},{柳井正:やないただし},{失敗:しっぱい}の{数:かず}は{多:おお}ければ{多:おお}いほどいい。それだけ{挑戦:ちょうせん}している{証拠:しょうこ}だから。
{現実:げんじつ},{三木谷浩史:みきたにひろし},{不可能:ふかのう}とは、{可能性:かのうせい}に{気:き}づいていないだけだ。
{現実:げんじつ},{盛田昭夫:もりたあきお},{常識:じょうしき}を{疑:うたが}うことから、{新:あたら}しいものは{生:う}まれる。
{現実:げんじつ},{井深大:いぶかまさる},やりたいことをやるのが{一番:いちばん}のモチベーションだ。
{現実:げんじつ},{豊田喜一郎:とよだきいちろう},{百回:ひゃっかい}の{議論:ぎろん}より、{一回:いっかい}の{実行:じっこう}。
{現実:げんじつ},{安藤百福:あんどうももふく},{転:ころ}んだら、ただ{起:お}き{上:あ}がるだけではもったいない。そこにある{石:いし}を{拾:ひろ}って{起:お}き{上:あ}がれ。
{現実:げんじつ},ラルフ・ワルド・エマーソン,{恐:おそ}れていることを{実行:じっこう}しなさい。そうすれば{恐怖心:きょうふしん}は{跡形:あとかた}もなく{消:き}え{去:さ}る。
{現実:げんじつ},ヴィクトール・フランクル,{人生:じんせい}があなたに{何:なに}を{期待:きたい}しているかが{問題:もんだい}なのではない。あなたが{人生:じんせい}に{何:なに}を{期待:きたい}しているかが{問題:もんだい}なのだ。
{現実:げんじつ},アントニオ{猪木:いのき},{道:みち}はどんなに{険:けわ}しくとも、{笑:わら}いながら{歩:ある}こうぜ！
{現実:げんじつ},ジャッキー・チェン,{人生:じんせい}で{一番:いちばん}{大切:たいせつ}なのは、{自分:じぶん}がやりたいことをやり{遂:と}げることだ。
{現実:げんじつ},トム・クルーズ,{不可能:ふかのう}を{可能:かのう}にするのが{僕:ぼく}の{仕事:しごと}だ。
{現実:げんじつ},レディー・ガガ,{自分:じぶん}が{信:しん}じるもののためなら、{何度:なんど}でも{戦:たたか}うわ。
{現実:げんじつ},テイラー・スウィフト,{恐:おそ}れを{知:し}らないということは、{恐怖:きょうふ}がないということじゃない。{恐怖:きょうふ}を{乗:の}り{越:こ}えるということよ。
{現実:げんじつ},マイケル・ジャクソン,{世界:せかい}を{変:か}えたいなら、まず{鏡:かがみ}の{中:なか}の{自分:じぶん}から{変:か}えろ。
{現実:げんじつ},アントワーヌ・ド・サン＝テグジュペリ,{計画:けいかく}のない{目標:もくひょう}は、ただの{願:ねが}い{事:ごと}にすぎない。
{現実:げんじつ},アルトゥル・ショーペンハウアー,{平凡:へいぼん}な{人間:にんげん}は{時間:じかん}を{潰:つぶ}すことばかり{考:かんが}え、{才能:さいのう}ある{人間:にんげん}は{時間:じかん}を{利用:りよう}することを{考:かんが}える。
{現実:げんじつ},セネカ,{困難:こんなん}だからやらないのではない。やらないから{困難:こんなん}なのだ。
{現実:げんじつ},ナポレオン・ボナパルト,「{不可能:ふかのう}」という{言葉:ことば}は、{愚:おろ}か{者:もの}の{辞書:じしょ}にしか{存在:そんざい}しない。
{架空:かくう},{安西:あんざい}{先生:せんせい}（SLAM DUNK）,{諦:あきら}めたらそこで{試合:しあい}{終了:しゅうりょう}ですよ。
{架空:かくう},{桜木花道:さくらぎはなみち}（SLAM DUNK）,オヤジの{栄光:えいこう}{時代:じだい}はいつだよ…{全日本:ぜんにっぽん}の{時:とき}か？{俺:おれ}は……{俺:おれ}は{今:いま}なんだよ！
{架空:かくう},{赤木剛憲:あかぎたけのり}（SLAM DUNK）,{骨:ほね}が{折:お}れてもいい…{歩:ある}けなくなってもいい…！ やっと{掴:つか}んだチャンスなんだ…！
{架空:かくう},{鴨川源二:かもがわげんじ}（はじめの{一歩:いっぽ}）,{努力:どりょく}した{者:もの}が{全:すべ}て{報:むく}われるとは{限:かぎ}らん。しかし、{成功:せいこう}した{者:もの}は{皆:みな}すべからく{努力:どりょく}しておる！
{架空:かくう},{幕之内一歩:まくのうちいっぽ}（はじめの{一歩:いっぽ}）,{立:た}ち{上:あ}がらなきゃ…ここで{立:た}ち{上:あ}がらなきゃ、{今:いま}までやってきた{事:こと}が{全部:ぜんぶ}{嘘:うそ}になっちゃう！
{架空:かくう},{南波六太:なんばむった}（{宇宙:うちゅう}{兄弟:きょうだい}）,{俺:おれ}の{敵:てき}はだいたい{俺:おれ}です。{自分:じぶん}の"{宇宙:うちゅう}へ{行:い}きたい"っていう{夢:ゆめ}をさんざん{邪魔:じゃま}して{足:あし}を{引:ひ}っ{張:ぱ}り{続:つづ}けたのは{結局:けっきょく}{俺:おれ}でした。
{架空:かくう},{南波日々人:なんばひびと}（{宇宙:うちゅう}{兄弟:きょうだい}）,もし{諦:あきら}め{切:き}れるんなら、そんなもん{夢:ゆめ}じゃねえ。
{架空:かくう},ヨーダ（スター・ウォーズ）,やるか、やらないかだ。「{試:ため}しにやってみる」などない。
{架空:かくう},モンキー・D・ルフィ（ONE PIECE）,できるかどうかじゃない。なりたいからなるんだ。
{架空:かくう},サンジ（ONE PIECE）,{誰:だれ}にでもできる{事:こと}とできない{事:こと}がある。お{前:まえ}にできない{事:こと}はおれがやる。おれにできない{事:こと}をお{前:まえ}がやれ！
{架空:かくう},エルヴィン・スミス（{進撃:しんげき}の{巨人:きょじん}）,{何:なに}かを{捨:す}てることのできない{人間:にんげん}には、{何:なに}も{変:か}えることはできない。
{架空:かくう},リヴァイ・アッカーマン（{進撃:しんげき}の{巨人:きょじん}）,{悔:く}いが{残:のこ}らない{方:ほう}を{自分:じぶん}で{選:えら}べ。
{架空:かくう},エレン・イェーガー（{進撃:しんげき}の{巨人:きょじん}）,{戦:たたか}わなければ{勝:か}てない。
{架空:かくう},{竈門炭治郎:かまどたんじろう}（{鬼滅:きめつ}の{刃:やいば}）,{頑張:がんば}れ{炭治郎:たんじろう}{頑張:がんば}れ!! {俺:おれ}は{今:いま}までよくやってきた!! {俺:おれ}はできる{奴:やつ}だ!!
{架空:かくう},{煉獄杏寿郎:れんごくきょうじゅろう}（{鬼滅:きめつ}の{刃:やいば}）,{心:こころ}を{燃:も}やせ。{限界:げんかい}を{超:こ}えろ。
{架空:かくう},{宇髄天元:うずいてんげん}（{鬼滅:きめつ}の{刃:やいば}）,{恥:はじ}を{掻:か}いても{生:い}きてりゃ{何:なん}とかなる！
{架空:かくう},ロイ・マスタング（{鋼:はがね}の{錬金術師:れんきんじゅつし}）,{理想:りそう}を{語:かた}れなくなったら{人間:にんげん}の{進化:しんか}は{止:と}まるぞ。
{架空:かくう},エドワード・エルリック（{鋼:はがね}の{錬金術師:れんきんじゅつし}）,{立:た}って{歩:ある}け。{前:まえ}へ{進:すす}め。あんたには{立派:りっぱ}な{足:あし}がついてるじゃないか。
{架空:かくう},ドラえもん（ドラえもん）,{毎日:まいにち}の{小:ちい}さな{努力:どりょく}の{積:つ}み{重:かさ}ねが、{歴史:れきし}を{作:つく}っていくんだよ。
{架空:かくう},{野比:のび}のび{太:た}（ドラえもん）,{一番:いちばん}いけないのは、{自分:じぶん}なんかダメだと{思:おも}い{込:こ}むことだよ。
{架空:かくう},オールマイト（{僕:ぼく}のヒーローアカデミア）,{君:きみ}はヒーローになれる。
{架空:かくう},{緑谷出久:みどりやいずく}（{僕:ぼく}のヒーローアカデミア）,{限界:げんかい}だと{思:おも}った{時:とき}からが{本当:ほんとう}の{勝負:しょうぶ}だ！
{架空:かくう},{爆豪勝己:ばくごうかつき}（{僕:ぼく}のヒーローアカデミア）,{俺:おれ}はここで{一番:いちばん}になってやる！
{架空:かくう},{轟焦凍:とどろきしょうと}（{僕:ぼく}のヒーローアカデミア）,なりたい{自分:じぶん}になっていいんだよ。
{架空:かくう},カミナ（{天元突破:てんげんとっぱ}グレンラガン）,お{前:まえ}を{信:しん}じろ。{俺:おれ}が{信:しん}じるお{前:まえ}でもない。お{前:まえ}が{信:しん}じる{俺:おれ}でもない。お{前:まえ}が{信:しん}じる、お{前:まえ}を{信:しん}じろ！
{架空:かくう},{坂田銀時:さかたぎんとき}（{銀魂:ぎんたま}）,{美:うつく}しく{最後:さいご}を{飾:かざ}りつける{暇:ひま}があるなら、{最後:さいご}まで{美:うつく}しく{生:い}きようじゃねーか。
{架空:かくう},ラフィキ（ライオン・キング）,{過去:かこ}は{痛:いた}むものだ。だがそこから{逃:に}げるか、{学:まな}ぶかは{自分次第:じぶんしだい}だ。
{架空:かくう},{野原:のはら}ひろし（クレヨンしんちゃん）,{夢:ゆめ}は{逃:に}げない。{逃:に}げるのはいつも{自分:じぶん}だ。
{架空:かくう},うずまきナルト（NARUTO）,まっすぐ{自分:じぶん}の{言葉:ことば}は{曲:ま}げねェ。それが{俺:おれ}の{忍道:にんどう}だ。
{架空:かくう},マイト・ガイ（NARUTO）,{自分:じぶん}を{信:しん}じない{奴:やつ}なんかに、{努力:どりょく}する{価値:かち}はない！
{架空:かくう},ロック・リー（NARUTO）,{木:き}の{葉:は}の{蓮華:れんげ}は{二度:にど}{咲:さ}きます！
{架空:かくう},{黒崎一護:くろさきいちご}（BLEACH）,{俺:おれ}は……{俺:おれ}の{護:まも}りたいものを{護:まも}る！
{架空:かくう},{孫悟空:そんごくう}（ドラゴンボール）,{落:お}ちこぼれだって{必死:ひっし}に{努力:どりょく}すりゃエリートを{超:こ}えることがあるかもよ。
{架空:かくう},ベジータ（ドラゴンボール）,{限界:げんかい}など{気:き}のせいだ！
{架空:かくう},{日向翔陽:ひなたしょうよう}（ハイキュー！！）,{負:ま}けたくないことに{理由:りゆう}って{要:い}る？
{架空:かくう},{影山飛雄:かげやまとびお}（ハイキュー！！）,{俺:おれ}が{居:い}ればお{前:まえ}は{最強:さいきょう}だ！
{架空:かくう},{西谷夕:にしのやゆう}（ハイキュー！！）,{野郎共:やろうども}ビビるなァーッ！！ {前:まえ}のめりで{行:い}くぜ。
{架空:かくう},{澤村大地:さわむらだいち}（ハイキュー！！）,{俺達:おれたち}は{血液:けつえき}だ。{滞:とどこお}り{無:な}く{流:なが}れろ。{酸素:さんそ}を{回:まわ}せ。「{脳:のう}」が{正常:せいじょう}に{働:はたら}くために。
{架空:かくう},ブローノ・ブチャラティ（ジョジョの{奇妙:きみょう}な{冒険:ぼうけん}）,"{覚悟:かくご}"とは…………{犠牲:ぎせい}の{心:こころ}ではないッ！ "{覚悟:かくご}"とは！！ {暗闇:くらやみ}の{荒野:こうや}に！！ {進:すす}むべき{道:みち}を{切:き}り{開:ひら}く{事:こと}だッ！
{架空:かくう},ロッキー・バルボア（ロッキー）,どんなに{強:つよ}く{打:う}ちのめされても、{立:た}ち{上:あ}がり{前:まえ}に{進:すす}み{続:つづ}けることだ。それが{勝:か}つということだ！
{架空:かくう},ネオ（マトリックス）,{道:みち}を{知:し}っていることと、{実際:じっさい}にその{道:みち}を{歩:ある}くことは{違:ちが}う。
{架空:かくう},ガンダルフ（ロード・オブ・ザ・リング）,{私:わたし}たちにできるのは、{与:あた}えられた{時間:じかん}をどう{使:つか}うか{決:き}めることだけだ。
{架空:かくう},クラウド・ストライフ（ファイナルファンタジーVII）,{興味:きょうみ}ないね。だが、やるからには{全力:ぜんりょく}だ。
{架空:かくう},アイザック・ネテロ（HUNTER×HUNTER）,{感謝:かんしゃ}するぜ お{前:まえ}と{出会:であ}えた これまでの {全:すべ}てに!!!
{架空:かくう},ジン・フリークス（HUNTER×HUNTER）,{道草:みちくさ}を{楽:たの}しめ {大:おお}いにな。ほしいものより{大切:たいせつ}なものが きっとそっちに ころがってる。
{架空:かくう},ゴン・フリークス（HUNTER×HUNTER）,{俺:おれ}、やってみる。
{架空:かくう},アーチャー（Fate/stay night）,ついてこれるか、ではなく。てめえの{方:ほう}こそ、ついてきやがれ！
{架空:かくう},{衛宮士郎:えみやしろう}（Fate/stay night）,だから、{俺:おれ}の{信:しん}じるものは{間違:まちが}ってない！
{架空:かくう},ノーマン（{約束:やくそく}のネバーランド）,{僕:ぼく}は{神様:かみさま}になりたいわけじゃない。ただ、みんなで{笑:わら}い{合:あ}いたいだけなんだ。
{架空:かくう},レイ（{約束:やくそく}のネバーランド）,{負:ま}け{犬:いぬ}になんてなってたまるか。
{架空:かくう},エマ（{約束:やくそく}のネバーランド）,{私達:わたしたち}は、もう{二度:にど}と{大切:たいせつ}な{家族:かぞく}を{失:うしな}いたくない！
{架空:かくう},{虎杖悠仁:いたどりゆうじ}（{呪術廻戦:じゅじゅつかいせん}）,{自分:じぶん}が{死:し}ぬ{時:とき}のことは{分:わ}からんけど、{生:い}き{様:ざま}で{後悔:こうかい}はしたくない。
{架空:かくう},{伏黒恵:ふしぐろめぐみ}（{呪術廻戦:じゅじゅつかいせん}）,{俺:おれ}は{不平等:ふびょうどう}に{人:ひと}を{助:たす}ける。
{架空:かくう},{比企谷八幡:ひきがちはちまん}（やはり{俺:おれ}の{青春:せいしゅん}ラブコメはまちがっている。）,{逃:に}げるのは{恥:はじ}だが{役:やく}に{立:た}つ、なんてのは{誰:だれ}が{言:い}ったんだったか。
{架空:かくう},ロイド・フォージャー（SPY×FAMILY）,{子供:こども}が{泣:な}かない{世界:せかい}。それを{作:つく}りたくて{俺:おれ}はスパイになったんだ。
{架空:かくう},アキ（チェンソーマン）,{後悔:こうかい}はしていない。
{架空:かくう},シュタルク（{葬送:そうそう}のフリーレン）,{俺:おれ}はまだ、{何:なに}もやり{遂:と}げていない。だから{立:た}ち{上:あ}がるんだ。
{架空:かくう},ヒンメル（{葬送:そうそう}のフリーレン）,{僕:ぼく}たちは{世界:せかい}を{救:すく}うんだ。
{架空:かくう},マッシュ・バーンデッド（マッシュル）,{筋肉:きんにく}は{裏切:うらぎ}らない。
{架空:かくう},アスタ（ブラッククローバー）,{諦:あきら}めないのが、{俺:おれ}の{魔法:まほう}だ！
{架空:かくう},ユノ（ブラッククローバー）,{俺:おれ}は{魔法帝:まほうてい}になる。
{架空:かくう},ヤミ・スケヒロ（ブラッククローバー）,ここで{限界:げんかい}を{超:こ}えろ。
