分類,発言者,格言
現実,西郷隆盛,命もいらず、名もいらず、官位も金もいらぬ人は、始末に困るものなり。この始末に困る人ならでは、艱難を共にして国家の大業は成し得られぬなり。
現実,勝海舟,事を成し遂げる者は愚直でなければならぬ。才走ってはうまくいかない。
現実,野口英世,努力だ。勉強だ。それが天才だ。誰よりも三倍、四倍、五倍勉強する者、それが天才だ。
現実,手塚治虫,人を信じよ、しかしその百倍も自らを信じよ。
現実,藤子・F・不二雄,何かを始めるのに遅すぎるということはない。
現実,宮崎駿,自分の今の力が足りないなら、とにかく足掻いて、足掻いて、足掻きまくるしかない。
現実,黒澤明,私はいつも、次こそが最高傑作だと思っている。
現実,チャールズ・チャップリン,下を向いていたら、虹を見つけることはできないよ。
現実,オードリー・ヘプバーン,不可能（Impossible）なことなどないわ。言葉自体が「私はできる（I'm possible）」と言っているのだから。
現実,ジョン・レノン,問題は、君がどう動くかだ。
現実,ルートヴィヒ・ヴァン・ベートーヴェン,卓越した人々の最大の特徴は、不幸で苦しい状況にあっても決して屈しないことだ。
現実,パブロ・ピカソ,私はいつも自分ができないことをしている。そうすれば、そのやり方を学べるからだ。
現実,フィンセント・ファン・ゴッホ,偉業は一時的な衝動でなされるものではなく、小さなことの積み重ねによってなされるのだ。
現実,レオナルド・ダ・ヴィンチ,充実した一日が幸せな眠りをもたらすように、充実した一生は幸福な死をもたらす。
現実,アイルトン・セナ,限界だと感じたときこそ、もう一歩踏み出すチャンスなんだ。
現実,アンネ・フランク,希望を持っていれば、いつか必ず叶うわ。
現実,マヤ・アンジェロウ,どんなことが起きても、今日という日を精一杯生きよう。
現実,ココ・シャネル,翼を持たずに生まれてきたのなら、翼を生やすためにどんなことでもしなさい。
現実,ブルース・スプリングスティーン,「いつか」という言葉は、決してやってこない日を指すことが多い。
現実,エレノア・ルーズベルト,未来は、美しい夢を信じる人のためにある。
現実,マーティン・ルーサー・キング・ジュニア,疑わずに最初の一段を登りなさい。階段のすべて見えなくてもいい。とにかく最初の一歩を踏み出すのです。
現実,マルコムX,未来は今日準備する者のためにある。
現実,コービー・ブライアント,休むのは最後にしろ。途中で休むな。
現実,レブロン・ジェームズ,恐れを抱くことは構わない。だが、それに屈してはならない。
現実,クリスティアーノ・ロナウド,才能がないのなら、人一倍の努力をするしかない。
現実,リオネル・メッシ,努力が報われるまで、僕は何度でも立ち上がる。
現実,セリーナ・ウィリアムズ,チャンピオンとは、勝った時ではなく、落ち込んだ時にどう立ち上がるかで定義される。
現実,タイガー・ウッズ,他人の期待になんて応えなくていい。自分の期待に応えればいいんだ。
現実,ウェイン・グレツキー,打たないシュートは100%外れる。
現実,ウサイン・ボルト,限界なんて最初から存在しない。
現実,大谷翔平,無理だと思わないことが一番大事だと思います。
現実,大坂なおみ,自分を信じることができなければ、誰もあなたを信じない。
現実,錦織圭,限界は自分が作っているだけ。
現実,内村航平,諦めたらそこで終わり。やり続ければ必ず道は開ける。
現実,三浦知良,学ばない者は人のせいにする。学びつつある者は自分のせいにする。学ぶことを知っている者は誰のせいにもしない。
現実,松井秀喜,コントロールできないことは気にするな。コントロールできることだけに全力を尽くせ。
現実,王貞治,努力は必ず報われる。もし報われない努力があるのなら、それはまだ努力と呼べない。
現実,長嶋茂雄,挫折してもプライドは失わない、それは最大の武器だからだ。
現実,稲盛和夫,動機善なりや、私心なかりしか。
現実,永守重信,すぐやる、必ずやる、出来るまでやる。
現実,柳井正,失敗の数は多ければ多いほどいい。それだけ挑戦している証拠だから。
現実,三木谷浩史,不可能とは、可能性に気づいていないだけだ。
現実,盛田昭夫,常識を疑うことから、新しいものは生まれる。
現実,井深大,やりたいことをやるのが一番のモチベーションだ。
現実,豊田喜一郎,百回の議論より、一回の実行。
現実,安藤百福,転んだら、ただ起き上がるだけではもったいない。そこにある石を拾って起き上がれ。
現実,ラルフ・ワルド・エマーソン,恐れていることを実行しなさい。そうすれば恐怖心は跡形もなく消え去る。
現実,ヴィクトール・フランクル,人生があなたに何を期待しているかが問題なのではない。あなたが人生に何を期待しているかが問題なのだ。
現実,アントニオ猪木,道はどんなに険しくとも、笑いながら歩こうぜ！
現実,ジャッキー・チェン,人生で一番大切なのは、自分がやりたいことをやり遂げることだ。
現実,トム・クルーズ,不可能を可能にするのが僕の仕事だ。
現実,マドンナ,私は自分の運命をコントロールしたい。
現実,レディー・ガガ,自分が信じるもののためなら、何度でも戦うわ。
現実,テイラー・スウィフト,恐れを知らないということは、恐怖がないということじゃない。恐怖を乗り越えるということよ。
現実,マイケル・ジャクソン,世界を変えたいなら、まず鏡の中の自分から変えろ。
現実,アントワーヌ・ド・サン＝テグジュペリ,計画のない目標は、ただの願い事にすぎない。
現実,アルトゥル・ショーペンハウアー,平凡な人間は時間を潰すことばかり考え、才能ある人間は時間を利用することを考える。
現実,セネカ,困難だからやらないのではない。やらないから困難なのだ。
現実,ナポレオン・ボナパルト,「不可能」という言葉は、愚か者の辞書にしか存在しない。
架空,安西先生（SLAM DUNK）,諦めたらそこで試合終了ですよ。
架空,桜木花道（SLAM DUNK）,オヤジの栄光時代はいつだよ…全日本の時か？俺は……俺は今なんだよ！
架空,赤木剛憲（SLAM DUNK）,骨が折れてもいい…歩けなくなってもいい…！ やっと掴んだチャンスなんだ…！
架空,三井寿（SLAM DUNK）,ここで働けなけりゃ…俺はただの大バカヤロウだ。
架空,鴨川源二（はじめの一歩）,努力した者が全て報われるとは限らん。しかし、成功した者は皆すべからく努力しておる！
架空,幕之内一歩（はじめの一歩）,立ち上がらなきゃ…ここで立ち上がらなきゃ、今までやってきた事が全部嘘になっちゃう！
架空,南波六太（宇宙兄弟）,俺の敵はだいたい俺です。自分の“宇宙へ行きたい”っていう夢をさんざん邪魔して足を引っぱるちづけたのは結局俺でした。
架空,南波日々人（宇宙兄弟）,もし諦め切れるんなら、そんなもん夢じゃねえ。
架空,ヨーダ（スター・ウォーズ）,やるか、やらないかだ。「試しにやってみる」などない。
架空,モンキー・D・ルフィ（ONE PIECE）,できるかどうかじゃない。なりたいからなるんだ。
架空,ロロノア・ゾロ（ONE PIECE）,苦難上等。好むものなり修羅の道。
架空,サンジ（ONE PIECE）,誰にでもできる事とできない事がある。お前にできない事はおれがやる。おれにできない事をお前がやれ！
架空,ジンベエ（ONE PIECE）,失った物ばかり数えるな！無いものは無い！確認せい!! お前にまだ残っておるものは何じゃ!!!
架空,エルヴィン・スミス（進撃の巨人）,何かを捨てることのできない人間には、何も変えることはできない。
架空,リヴァイ・アッカーマン（進撃の巨人）,悔いが残らない方を自分で選べ。
架空,アルミン・アルレルト（進撃の巨人）,何も捨てることができない人には、何も変えることはできないだろう。
架空,エレン・イェーガー（進撃の巨人）,戦わなければ勝てない。
架空,竈門炭治郎（鬼滅の刃）,頑張れ炭治郎頑張れ!! 俺は今までよくやってきた!! 俺はできる奴だ!!
架空,煉獄杏寿郎（鬼滅の刃）,心を燃やせ。限界を超えろ。
架空,宇髄天元（鬼滅の刃）,恥を掻いても生きてりゃ何とかなる！
架空,ロイ・マスタング（鋼の錬金術師）,理想を語れなくなったら人間の進化は止まるぞ。
架空,エドワード・エルリック（鋼の錬金術師）,立って歩け。前へ進め。あんたには立派な足がついてるじゃないか。
架空,ドラえもん（ドラえもん）,毎日の小さな努力の積み重ねが、歴史を作っていくんだよ。
架空,野比のび太（ドラえもん）,一番いけないのは、自分なんかダメだと思い込むことだよ。
架空,オールマイト（僕のヒーローアカデミア）,君はヒーローになれる。
架空,緑谷出久（僕のヒーローアカデミア）,限界だと思った時からが本当の勝負だ！
架空,爆豪勝己（僕のヒーローアカデミア）,俺はここで一番になってやる！
架空,轟焦凍（僕のヒーローアカデミア）,なりたい自分になっていいんだよ。
架空,カミナ（天元突破グレンラガン）,お前を信じろ。俺が信じるお前でもない。お前が信じる俺でもない。お前が信じる、お前を信じろ！
架空,シモン（天元突破グレンラガン）,俺のドリルは天を創るドリルだぁぁぁ！！
架空,坂田銀時（銀魂）,美しく最後を飾りつける暇があるなら、最後まで美しく生きようじゃねーか。
架空,ラフィキ（ライオン・キング）,過去は痛むものだ。だがそこから逃げるか、学ぶかは自分次第だ。
架空,野原ひろし（クレヨンしんちゃん）,夢は逃げない。逃げるのはいつも自分だ。
架空,うずまきナルト（NARUTO）,まっすぐ自分の言葉は曲げねェ。それが俺の忍道だ。
架空,マイト・ガイ（NARUTO）,自分を信じない奴なんかに、努力する価値はない！
架空,ロック・リー（NARUTO）,木の葉の蓮華は二度咲きます！
架空,黒崎一護（BLEACH）,俺は……俺の護りたいものを護る！
架空,阿散井恋次（BLEACH）,俺の魂にだ！
架空,孫悟空（ドラゴンボール）,落ちこぼれだって必死に努力すりゃエリートを超えることがあるかもよ。
架空,ベジータ（ドラゴンボール）,限界など気のせいだ！
架空,日向翔陽（ハイキュー!!）,負けたくないことに理由って要る？
架空,影山飛雄（ハイキュー!!）,俺が居ればお前は最強だ！
架空,西谷夕（ハイキュー!!）,野郎共ビビるなァーッ！！ 前のめりで行くぜ。
架空,澤村大地（ハイキュー!!）,俺達は血液だ。滞り無く流れろ。酸素を回せ。「脳」が正常に働くために。
架空,ブローノ・ブチャラティ（ジョジョの奇妙な冒険）,"覚悟"とは…………犠牲の心ではないッ！ "覚悟"とは！！ 暗闇の荒野に！！ 進むべき道を切り開く事だッ！
架空,ジョルノ・ジョバァーナ（ジョジョの奇妙な冒険）,"夢"があるッ！
架空,空条徐倫（ジョジョの奇妙な冒険）,祝福しろ。結婚にはそれが必要だ。いや、この道を進むためにもな。
架空,ジョニィ・ジョースター（ジョジョの奇妙な冒険）,マイナスだったからだ！ ゼロに向かって行きたい！
架空,ロッキー・バルボア（ロッキー）,どんなに強く打ちのめされても、立ち上がり前に進み続けることだ。それが勝つということだ！
架空,ネオ（マトリックス）,道を知っていることと、実際にその道を歩くことは違う。
架空,ガンダルフ（ロード・オブ・ザ・リング）,私たちにできるのは、与えられた時間をどう使うか決めることだけだ。
架空,クラウド・ストライフ（ファイナルファンタジーVII）,興味ないね。だが、やるからには全力だ。
架空,アイザック・ネテロ（HUNTER×HUNTER）,感謝するぜ お前と出会えた これまでの 全てに!!!
架空,ジン・フリークス（HUNTER×HUNTER）,道草を楽しめ 大いにな。ほしいものより大切なものが きっとそっちに ころがってる。
架空,ゴン・フリークス（HUNTER×HUNTER）,俺、やってみる。
架空,アーチャー（Fate/stay night）,ついてこれるか、ではなく。てめえの方こそ、ついてきやがれ！
架空,衛宮士郎（Fate/stay night）,だから、俺の信じるものは間違ってない！
架空,ライダー（Fate/Zero）,王とは、誰よりも鮮烈に生き、諸人を魅了する姿を指す言葉！
架空,ノーマン（約束のネバーランド）,僕は神様になりたいわけじゃない。ただ、みんなで笑い合いたいだけなんだ。
架空,レイ（約束のネバーランド）,負け犬になんてなってたまるか。
架空,エマ（約束のネバーランド）,私達は、もう二度と大切な家族を失いたくない！
架空,虎杖悠仁（呪術廻戦）,自分が死ぬ時のことは分からんけど、生き様で後悔はしたくない。
架空,伏黒恵（呪術廻戦）,俺は不平等に人を助ける。
架空,釘崎野薔薇（呪術廻戦）,懸けられるわ。私が私であるためだもの。
架空,両面宿儺（呪術廻戦）,誇れ。お前は強い。
架空,御坂美琴（とある科学の超電磁砲）,私だって、伊達にレベル5やってないわよ！
架空,上条当麻（とある魔術の禁書目録）,そのふざけた幻想をぶち殺す！
架空,比企谷八幡（やはり俺の青春ラブコメはまちがっている。）,逃げるのは恥だが役に立つ、なんてのは誰が言ったんだったか。
架空,ロイド・フォージャー（SPY×FAMILY）,子供が泣かない世界。それを作りたくて俺はスパイになったんだ。
架空,アキ（チェンソーマン）,後悔はしていない。
架空,デンジ（チェンソーマン）,夢バトルなら俺の勝ちだ。
架空,シュタルク（葬送のフリーレン）,俺はまだ、何もやり遂げていない。だから立ち上がるんだ。
架空,ヒンメル（葬送のフリーレン）,僕たちは世界を救うんだ。
架空,マッシュ・バーンデッド（マッシュル）,筋肉は裏切らない。
架空,アスタ（ブラッククローバー）,諦めないのが、俺の魔法だ！
架空,ユノ（ブラッククローバー）,俺は魔法帝になる。
架空,ヤミ・スケヒロ（ブラッククローバー）,ここで限界を超えろ。
架空,ガッツ（ベルセルク）,逃げ出した先に楽園なんてありゃしねえのさ。
架空,トルフィン（ヴィンランド・サガ）,本当の戦士には、剣など要らぬ。
架空,トールズ（ヴィンランド・サガ）,お前に敵などいない。誰にも敵などいないんだ。
架空,宮本武蔵（バガボンド）,強いというのは、弱さを知ることだ。
架空,沢北栄治（SLAM DUNK）,やられたらやり返す…！ 3倍にしてね。
架空,仙道彰（SLAM DUNK）,まだあわてるような時間じゃない。
架空,藤真健司（SLAM DUNK）,俺たちは勝つ！
架空,本田吾郎（MAJOR）,夢は逃げない。逃げるのはいつも自分だ。
架空,茂野吾郎（MAJOR）,他人にやらされてた練習を努力とは言わねえだろ。
架空,越前リョーマ（テニスの王子様）,まだまだだね。
架空,手塚国光（テニスの王子様）,油断せずに行こう。
架空,跡部景吾（テニスの王子様）,俺様の美技に酔いな。
架空,幸村精市（テニスの王子様）,死角はない。
架空,黒子テツヤ（黒子のバスケ）,僕は影だ。でも影は光が強いほど濃くなり、光の白さを際立たせる。
架空,火神大我（黒子のバスケ）,限界なんて、ブチ壊してやる！
架空,青峰大輝（黒子のバスケ）,俺に勝てるのは俺だけだ。
架空,赤司征十郎（黒子のバスケ）,絶対は僕だ。
架空,緑間真太郎（黒子のバスケ）,人事を尽くして天命を待つ。
架空,小野田坂道（弱虫ペダル）,僕は…みんなの思いを積んで走ってるんだ！
架空,真波山岳（弱虫ペダル）,俺は生きてる！
架空,巻島裕介（弱虫ペダル）,突破するっきゃないっしょ！
架空,荒北靖友（弱虫ペダル）,前だけ見てりゃあいいんだヨ！
架空,御堂筋翔（弱虫ペダル）,勝利以外は全て無価値や。
